Sample,SUBID,Bioproject,Biosample,Accession
UAB195xi,SUB9509524,PRJNA723099,SAMN18805013,CP073452.1
UAB197i,SUB9509524,PRJNA723099,SAMN18805014,CP073451.1
UAB202xi,SUB9509524,PRJNA723099,SAMN18805015,CP073450.1
UAB203i,SUB9509524,PRJNA723099,SAMN18805016,CP073449.1
UAB204xe,SUB9509524,PRJNA723099,SAMN18805017,CP073448.1
UAB211i,SUB9509524,PRJNA723099,SAMN18805018,CP073447.1
UAB216i,SUB9509524,PRJNA723099,SAMN18805019,CP073446.1
UAB218i,SUB9509524,PRJNA723099,SAMN18805020,CP073445.1
UAB229xe,SUB9509524,PRJNA723099,SAMN18805021,CP073444.1
UAB231i,SUB9509524,PRJNA723099,SAMN18805022,CP073443.1
UAB236i,SUB9509524,PRJNA723099,SAMN18805023,CP073442.1
UAB237,SUB9509524,PRJNA723099,SAMN18805024,CP073441.1
UAB263xi,SUB9509524,PRJNA723099,SAMN18805025,CP073440.1
UAB266i,SUB9509524,PRJNA723099,SAMN18805026,CP073439.1
UAB267i,SUB9509524,PRJNA723099,SAMN18805027,CP073438.1
UAB268xi,SUB9509524,PRJNA723099,SAMN18805028,CP073437.1
UAB275i,SUB9509524,PRJNA723099,SAMN18805029,CP073436.1
UAB276i,SUB9509524,PRJNA723099,SAMN18805030,CP073435.1
UAB278i,SUB9509524,PRJNA723099,SAMN18805031,CP073434.1
UAB28xi,SUB9509524,PRJNA723099,SAMN18805032,CP073433.1
UAB38xi,SUB9509524,PRJNA723099,SAMN18805033,CP073432.1
UAB40xi,SUB9509524,PRJNA723099,SAMN18805034,CP073431.1
UAB44xi,SUB9509524,PRJNA723099,SAMN18805035,CP073430.1
UAB46xei,SUB9509524,PRJNA723099,SAMN18805036,CP073429.1
UAB49xi,SUB9509524,PRJNA723099,SAMN18805037,CP073428.1
UAB501,SUB9509524,PRJNA723099,SAMN18805038,CP073427.1
UAB503i,SUB9509524,PRJNA723099,SAMN18805039,CP073426.1
UAB504xi,SUB9509524,PRJNA723099,SAMN18805040,CP073425.1
UAB505ei,SUB9509524,PRJNA723099,SAMN18805041,CP073424.1
UAB507ei,SUB9509524,PRJNA723099,SAMN18805042,CP073423.1
UAB508,SUB9509524,PRJNA723099,SAMN18805043,CP073422.1
UAB509ei,SUB9509524,PRJNA723099,SAMN18805044,CP073421.1
UAB510i,SUB9509524,PRJNA723099,SAMN18805045,CP073420.1
UAB511xi,SUB9509524,PRJNA723099,SAMN18805046,CP073419.1
UAB512x,SUB9509524,PRJNA723099,SAMN18805047,CP073418.1
UAB515xi,SUB9509524,PRJNA723099,SAMN18805048,CP073417.1
UAB516xi,SUB9509524,PRJNA723099,SAMN18805049,CP073416.1
UAB521xi,SUB9509524,PRJNA723099,SAMN18805050,CP073415.1
UAB522x,SUB9509524,PRJNA723099,SAMN18805051,CP073414.1
UAB523x,SUB9509524,PRJNA723099,SAMN18805052,CP073413.1
UAB525xe,SUB9509524,PRJNA723099,SAMN18805053,CP073412.1
UAB526xi,SUB9509524,PRJNA723099,SAMN18805054,CP073411.1
UAB528ei,SUB9509524,PRJNA723099,SAMN18805055,CP073410.1
UAB529i,SUB9509524,PRJNA723099,SAMN18805056,CP073409.1
UAB52xi,SUB9509524,PRJNA723099,SAMN18805057,CP073408.1
UAB530i,SUB9509524,PRJNA723099,SAMN18805058,CP073407.1
UAB531i,SUB9509524,PRJNA723099,SAMN18805059,CP073406.1
UAB532xi,SUB9509524,PRJNA723099,SAMN18805060,CP073405.1
UAB533i,SUB9509524,PRJNA723099,SAMN18805061,CP073404.1
UAB534xi,SUB9509524,PRJNA723099,SAMN18805062,CP073403.1
UAB535i,SUB9509524,PRJNA723099,SAMN18805063,CP073402.1
UAB538xi,SUB9509524,PRJNA723099,SAMN18805064,CP073401.1
UAB545ei,SUB9509524,PRJNA723099,SAMN18805065,CP073400.1
UAB546i,SUB9509524,PRJNA723099,SAMN18805066,CP073399.1
UAB547xei ,SUB9509524,PRJNA723099,SAMN18805067,CP073398.1
UAB549xe,SUB9509524,PRJNA723099,SAMN18805068,CP073397.1
UAB54xi,SUB9509524,PRJNA723099,SAMN18805069,CP073396.1
UAB551xi,SUB9509524,PRJNA723099,SAMN18805070,CP073395.1
UAB552x,SUB9509524,PRJNA723099,SAMN18805071,CP073394.1
UAB553xei ,SUB9509524,PRJNA723099,SAMN18805072,CP073393.1
UAB554xi,SUB9509524,PRJNA723099,SAMN18805073,CP073392.1
UAB60i,SUB9509524,PRJNA723099,SAMN18805074,CP073391.1
UAB61xei,SUB9509524,PRJNA723099,SAMN18805075,CP073390.1
UAB62i,SUB9509524,PRJNA723099,SAMN18805076,CP073389.1
UAB67xi,SUB9509524,PRJNA723099,SAMN18805077,CP073388.1
UAB69i,SUB9509524,PRJNA723099,SAMN18805078,CP073387.1
UAB6xi,SUB9509524,PRJNA723099,SAMN18805079,CP073386.1
UAB71i,SUB9509524,PRJNA723099,SAMN18805080,CP073385.1
UAB75,SUB9509524,PRJNA723099,SAMN18805081,CP073384.1
UAB76xei,SUB9509524,PRJNA723099,SAMN18805082,CP073383.1
UAB81xi,SUB9509524,PRJNA723099,SAMN18805083,CP073382.1
UAB89xi,SUB9509524,PRJNA723099,SAMN18805084,CP073381.1
